CLASS_QNAME;OT_NORE
org.apache.commons.io.LineIterator;4.0
org.apache.commons.io.input.ObservableInputStream;1.0
org.apache.commons.io.comparator.AbstractFileComparator;0.0
org.apache.commons.io.input.ReaderInputStream;2.0
org.apache.commons.io.input.XmlStreamReaderException;0.0
org.apache.commons.io.FileCleaningTracker$Tracker;0.0
org.apache.commons.io.serialization.RegexpClassNameMatcher;1.0
org.apache.commons.io.EndianUtils;1.0
org.apache.commons.io.output.FileWriterWithEncoding;3.0
org.apache.commons.io.input.CloseShieldInputStream;0.0
org.apache.commons.io.filefilter.EmptyFileFilter;0.0
org.apache.commons.io.input.XmlStreamReader;16.0
org.apache.commons.io.filefilter.NotFileFilter;1.0
org.apache.commons.io.filefilter.TrueFileFilter;0.0
org.apache.commons.io.input.ReversedLinesFileReader$FilePart;4.0
org.apache.commons.io.input.ObservableInputStream$Observer;1.0
org.apache.commons.io.filefilter.AgeFileFilter;0.0
org.apache.commons.io.serialization.ValidatingObjectInputStream;1.0
org.apache.commons.io.CopyUtils;0.0
org.apache.commons.io.IOExceptionWithCause;0.0
org.apache.commons.io.DirectoryWalker;3.0
org.apache.commons.io.output.ByteArrayOutputStream;2.0
org.apache.commons.io.ByteOrderParser;1.0
org.apache.commons.io.HexDump;2.0
org.apache.commons.io.input.ProxyReader;1.0
org.apache.commons.io.comparator.ExtensionFileComparator;0.0
org.apache.commons.io.filefilter.DirectoryFileFilter;0.0
org.apache.commons.io.IOUtils;21.0
org.apache.commons.io.filefilter.SuffixFileFilter;3.0
org.apache.commons.io.output.ProxyWriter;1.0
org.apache.commons.io.input.NullInputStream;8.0
org.apache.commons.io.comparator.LastModifiedFileComparator;0.0
org.apache.commons.io.TaggedIOException;1.0
org.apache.commons.io.input.UnixLineEndingInputStream;1.0
org.apache.commons.io.FileCleaningTracker;3.0
org.apache.commons.io.filefilter.DelegateFileFilter;2.0
org.apache.commons.io.input.Tailer;0.0
org.apache.commons.io.filefilter.AndFileFilter;1.0
org.apache.commons.io.input.TeeInputStream;0.0
org.apache.commons.io.input.BoundedReader;0.0
org.apache.commons.io.input.WindowsLineEndingInputStream;1.0
org.apache.commons.io.output.ChunkedOutputStream;1.0
org.apache.commons.io.input.CharSequenceReader;3.0
org.apache.commons.io.input.MessageDigestCalculatingInputStream;0.0
org.apache.commons.io.comparator.DefaultFileComparator;0.0
org.apache.commons.io.filefilter.NameFileFilter;3.0
org.apache.commons.io.output.StringBuilderWriter;0.0
org.apache.commons.io.serialization.FullClassNameMatcher;0.0
org.apache.commons.io.output.TeeOutputStream;0.0
org.apache.commons.io.output.XmlStreamWriter;0.0
org.apache.commons.io.Charsets;0.0
org.apache.commons.io.output.CountingOutputStream;2.0
org.apache.commons.io.input.InfiniteCircularInputStream;0.0
org.apache.commons.io.output.DeferredFileOutputStream;6.0
org.apache.commons.io.comparator.CompositeFileComparator;0.0
org.apache.commons.io.output.ChunkedWriter;1.0
org.apache.commons.io.FileUtils;91.0
org.apache.commons.io.output.BrokenOutputStream;3.0
org.apache.commons.io.input.SwappedDataInputStream;3.0
org.apache.commons.io.output.TaggedOutputStream;1.0
org.apache.commons.io.comparator.SizeFileComparator;0.0
org.apache.commons.io.input.NullReader;8.0
