CLASS_QNAME;OT_NOSE;OT_NORE
org.apache.commons.io.LineIterator;1.0;4.0
org.apache.commons.io.input.ObservableInputStream;10.0;1.0
org.apache.commons.io.comparator.AbstractFileComparator;0.0;0.0
org.apache.commons.io.input.ReaderInputStream;5.0;2.0
org.apache.commons.io.input.XmlStreamReaderException;0.0;0.0
org.apache.commons.io.FileCleaningTracker$Tracker;0.0;0.0
org.apache.commons.io.serialization.RegexpClassNameMatcher;0.0;1.0
org.apache.commons.io.EndianUtils;13.0;1.0
org.apache.commons.io.output.FileWriterWithEncoding;8.0;3.0
org.apache.commons.io.input.CloseShieldInputStream;0.0;0.0
org.apache.commons.io.filefilter.EmptyFileFilter;0.0;0.0
org.apache.commons.io.input.XmlStreamReader;8.0;16.0
org.apache.commons.io.filefilter.NotFileFilter;0.0;1.0
org.apache.commons.io.filefilter.TrueFileFilter;0.0;0.0
org.apache.commons.io.input.ReversedLinesFileReader$FilePart;2.0;4.0
org.apache.commons.io.input.ObservableInputStream$Observer;5.0;1.0
org.apache.commons.io.filefilter.AgeFileFilter;0.0;0.0
org.apache.commons.io.serialization.ValidatingObjectInputStream;4.0;1.0
org.apache.commons.io.CopyUtils;12.0;0.0
org.apache.commons.io.IOExceptionWithCause;0.0;0.0
org.apache.commons.io.DirectoryWalker;13.0;3.0
org.apache.commons.io.output.ByteArrayOutputStream;6.0;2.0
org.apache.commons.io.ByteOrderParser;0.0;1.0
org.apache.commons.io.HexDump;3.0;2.0
org.apache.commons.io.input.ProxyReader;12.0;1.0
org.apache.commons.io.comparator.ExtensionFileComparator;0.0;0.0
org.apache.commons.io.filefilter.DirectoryFileFilter;0.0;0.0
org.apache.commons.io.IOUtils;104.0;21.0
org.apache.commons.io.filefilter.SuffixFileFilter;0.0;3.0
org.apache.commons.io.output.ProxyWriter;13.0;1.0
org.apache.commons.io.input.NullInputStream;7.0;8.0
org.apache.commons.io.comparator.LastModifiedFileComparator;0.0;0.0
org.apache.commons.io.TaggedIOException;1.0;1.0
org.apache.commons.io.input.UnixLineEndingInputStream;3.0;1.0
org.apache.commons.io.FileCleaningTracker;0.0;3.0
org.apache.commons.io.filefilter.DelegateFileFilter;0.0;2.0
org.apache.commons.io.input.Tailer;1.0;0.0
org.apache.commons.io.filefilter.AndFileFilter;0.0;1.0
org.apache.commons.io.input.TeeInputStream;4.0;0.0
org.apache.commons.io.input.BoundedReader;5.0;0.0
org.apache.commons.io.input.WindowsLineEndingInputStream;3.0;1.0
org.apache.commons.io.output.ChunkedOutputStream;1.0;1.0
org.apache.commons.io.input.CharSequenceReader;0.0;3.0
org.apache.commons.io.input.MessageDigestCalculatingInputStream;0.0;0.0
org.apache.commons.io.comparator.DefaultFileComparator;0.0;0.0
org.apache.commons.io.filefilter.NameFileFilter;0.0;3.0
org.apache.commons.io.output.StringBuilderWriter;0.0;0.0
org.apache.commons.io.serialization.FullClassNameMatcher;0.0;0.0
org.apache.commons.io.output.TeeOutputStream;5.0;0.0
org.apache.commons.io.output.XmlStreamWriter;4.0;0.0
