CLASS_QNAME;OT_NOPM
org.apache.commons.io.LineIterator;6.0
org.apache.commons.io.input.ObservableInputStream;8.0
org.apache.commons.io.comparator.AbstractFileComparator;3.0
org.apache.commons.io.input.ReaderInputStream;4.0
org.apache.commons.io.input.XmlStreamReaderException;5.0
org.apache.commons.io.FileCleaningTracker$Tracker;2.0
org.apache.commons.io.serialization.RegexpClassNameMatcher;1.0
org.apache.commons.io.EndianUtils;29.0
org.apache.commons.io.output.FileWriterWithEncoding;7.0
org.apache.commons.io.input.CloseShieldInputStream;1.0
org.apache.commons.io.filefilter.EmptyFileFilter;1.0
org.apache.commons.io.input.XmlStreamReader;4.0
org.apache.commons.io.filefilter.NotFileFilter;3.0
org.apache.commons.io.filefilter.TrueFileFilter;2.0
org.apache.commons.io.input.ReversedLinesFileReader$FilePart;0.0
org.apache.commons.io.input.ObservableInputStream$Observer;0.0
org.apache.commons.io.filefilter.AgeFileFilter;2.0
org.apache.commons.io.serialization.ValidatingObjectInputStream;8.0
org.apache.commons.io.CopyUtils;12.0
org.apache.commons.io.IOExceptionWithCause;0.0
org.apache.commons.io.DirectoryWalker;2.0
org.apache.commons.io.output.ByteArrayOutputStream;14.0
org.apache.commons.io.ByteOrderParser;1.0
org.apache.commons.io.HexDump;1.0
org.apache.commons.io.input.ProxyReader;10.0
org.apache.commons.io.comparator.ExtensionFileComparator;2.0
org.apache.commons.io.filefilter.DirectoryFileFilter;1.0
org.apache.commons.io.IOUtils;129.0
org.apache.commons.io.filefilter.SuffixFileFilter;3.0
org.apache.commons.io.output.ProxyWriter;10.0
org.apache.commons.io.input.NullInputStream;11.0
org.apache.commons.io.comparator.LastModifiedFileComparator;1.0
org.apache.commons.io.TaggedIOException;4.0
org.apache.commons.io.input.UnixLineEndingInputStream;3.0
org.apache.commons.io.FileCleaningTracker;10.0
org.apache.commons.io.filefilter.DelegateFileFilter;3.0
org.apache.commons.io.input.Tailer;11.0
org.apache.commons.io.filefilter.AndFileFilter;7.0
org.apache.commons.io.input.TeeInputStream;4.0
org.apache.commons.io.input.BoundedReader;5.0
org.apache.commons.io.input.WindowsLineEndingInputStream;3.0
org.apache.commons.io.output.ChunkedOutputStream;1.0
org.apache.commons.io.input.CharSequenceReader;8.0
org.apache.commons.io.input.MessageDigestCalculatingInputStream;1.0
org.apache.commons.io.comparator.DefaultFileComparator;1.0
org.apache.commons.io.filefilter.NameFileFilter;3.0
org.apache.commons.io.output.StringBuilderWriter;9.0
org.apache.commons.io.serialization.FullClassNameMatcher;1.0
org.apache.commons.io.output.TeeOutputStream;5.0
org.apache.commons.io.input.BOMInputStream$1;1.0
org.apache.commons.io.output.XmlStreamWriter;5.0
org.apache.commons.io.Charsets;3.0
org.apache.commons.io.output.CountingOutputStream;4.0
org.apache.commons.io.input.InfiniteCircularInputStream;1.0
org.apache.commons.io.output.DeferredFileOutputStream;5.0
org.apache.commons.io.comparator.CompositeFileComparator;2.0
org.apache.commons.io.output.ChunkedWriter;1.0
org.apache.commons.io.FileUtils;100.0
org.apache.commons.io.output.BrokenOutputStream;3.0
org.apache.commons.io.input.SwappedDataInputStream;15.0
org.apache.commons.io.output.TaggedOutputStream;2.0
org.apache.commons.io.comparator.SizeFileComparator;2.0
org.apache.commons.io.input.NullReader;10.0
org.apache.commons.io.filefilter.WildcardFilter;2.0
org.apache.commons.io.output.NullOutputStream;3.0
org.apache.commons.io.output.LockableFileWriter;7.0
org.apache.commons.io.filefilter.WildcardFileFilter;3.0
org.apache.commons.io.comparator.DirectoryFileComparator;1.0
org.apache.commons.io.output.WriterOutputStream;5.0
org.apache.commons.io.filefilter.MagicNumberFileFilter;2.0
org.apache.commons.io.input.BoundedInputStream;12.0
org.apache.commons.io.output.NullWriter;10.0
org.apache.commons.io.monitor.FileAlterationObserver;9.0
org.apache.commons.io.filefilter.FileFilterUtils;41.0
org.apache.commons.io.comparator.ReverseComparator;2.0
org.apache.commons.io.input.BOMInputStream;11.0
org.apache.commons.io.input.TaggedInputStream;2.0
org.apache.commons.io.filefilter.AbstractFileFilter;3.0
org.apache.commons.io.ByteOrderMark;7.0
org.apache.commons.io.filefilter.FileFileFilter;1.0
org.apache.commons.io.input.DemuxInputStream;3.0
org.apache.commons.io.output.ProxyOutputStream;5.0
org.apache.commons.io.filefilter.HiddenFileFilter;1.0
org.apache.commons.io.input.BrokenInputStream;5.0
org.apache.commons.io.FileExistsException;0.0
org.apache.commons.io.filefilter.FalseFileFilter;2.0
org.apache.commons.io.filefilter.CanReadFileFilter;1.0
org.apache.commons.io.output.DemuxOutputStream;4.0
org.apache.commons.io.FilenameUtils;32.0
org.apache.commons.io.monitor.FileEntry;17.0
org.apache.commons.io.DirectoryWalker$CancelException;2.0
org.apache.commons.io.IOCase;10.0
org.apache.commons.io.FileDeleteStrategy;3.0
org.apache.commons.io.FileSystemUtils;5.0
org.apache.commons.io.output.AppendableOutputStream;2.0
org.apache.commons.io.comparator.PathFileComparator;2.0
org.apache.commons.io.filefilter.SizeFileFilter;2.0
org.apache.commons.io.input.ReversedLinesFileReader;2.0
org.apache.commons.io.monitor.FileAlterationListenerAdaptor;8.0
org.apache.commons.io.filefilter.OrFileFilter;7.0
org.apache.commons.io.input.MessageDigestCalculatingInputStream$MessageDigestMaintainingObserver;0.0
org.apache.commons.io.input.TailerListenerAdapter;6.0
org.apache.commons.io.filefilter.RegexFileFilter;1.0
org.apache.commons.io.output.CloseShieldOutputStream;1.0
org.apache.commons.io.output.ClosedOutputStream;2.0
org.apache.commons.io.input.ClosedInputStream;1.0
org.apache.commons.io.input.CountingInputStream;5.0
org.apache.commons.io.monitor.FileAlterationMonitor;9.0
org.apache.commons.io.ThreadMonitor;4.0
org.apache.commons.io.serialization.WildcardClassNameMatcher;1.0
org.apache.commons.io.FileCleaner;7.0
org.apache.commons.io.input.CharSequenceInputStream;9.0
org.apache.commons.io.filefilter.PrefixFileFilter;3.0
org.apache.commons.io.comparator.NameFileComparator;2.0
org.apache.commons.io.FileCleaningTracker$Reaper;1.0
org.apache.commons.io.FileDeleteStrategy$ForceFileDeleteStrategy;0.0
org.apache.commons.io.input.AutoCloseInputStream;1.0
org.apache.commons.io.input.ProxyInputStream;9.0
org.apache.commons.io.output.ThresholdingOutputStream;8.0
org.apache.commons.io.input.ClassLoaderObjectInputStream;0.0
org.apache.commons.io.filefilter.CanWriteFileFilter;1.0
