CLASS_QNAME;OT_NODM
org.apache.commons.io.LineIterator;7.0
org.apache.commons.io.input.ObservableInputStream;19.0
org.apache.commons.io.comparator.AbstractFileComparator;3.0
org.apache.commons.io.input.ReaderInputStream;5.0
org.apache.commons.io.input.XmlStreamReaderException;5.0
org.apache.commons.io.FileCleaningTracker$Tracker;2.0
org.apache.commons.io.serialization.RegexpClassNameMatcher;1.0
org.apache.commons.io.EndianUtils;30.0
org.apache.commons.io.output.FileWriterWithEncoding;8.0
org.apache.commons.io.input.CloseShieldInputStream;1.0
org.apache.commons.io.filefilter.EmptyFileFilter;1.0
org.apache.commons.io.input.XmlStreamReader;14.0
org.apache.commons.io.filefilter.NotFileFilter;3.0
org.apache.commons.io.filefilter.TrueFileFilter;2.0
org.apache.commons.io.input.ReversedLinesFileReader$FilePart;4.0
org.apache.commons.io.input.ObservableInputStream$Observer;5.0
org.apache.commons.io.filefilter.AgeFileFilter;2.0
org.apache.commons.io.serialization.ValidatingObjectInputStream;11.0
org.apache.commons.io.CopyUtils;12.0
org.apache.commons.io.IOExceptionWithCause;0.0
org.apache.commons.io.DirectoryWalker;15.0
org.apache.commons.io.output.ByteArrayOutputStream;15.0
org.apache.commons.io.ByteOrderParser;1.0
org.apache.commons.io.HexDump;3.0
org.apache.commons.io.input.ProxyReader;13.0
org.apache.commons.io.comparator.ExtensionFileComparator;2.0
org.apache.commons.io.filefilter.DirectoryFileFilter;1.0
org.apache.commons.io.IOUtils;129.0
org.apache.commons.io.filefilter.SuffixFileFilter;3.0
org.apache.commons.io.output.ProxyWriter;13.0
org.apache.commons.io.input.NullInputStream;14.0
org.apache.commons.io.comparator.LastModifiedFileComparator;1.0
org.apache.commons.io.TaggedIOException;4.0
org.apache.commons.io.input.UnixLineEndingInputStream;5.0
org.apache.commons.io.FileCleaningTracker;11.0
org.apache.commons.io.filefilter.DelegateFileFilter;3.0
org.apache.commons.io.input.Tailer;13.0
org.apache.commons.io.filefilter.AndFileFilter;7.0
org.apache.commons.io.input.TeeInputStream;4.0
org.apache.commons.io.input.BoundedReader;5.0
org.apache.commons.io.input.WindowsLineEndingInputStream;5.0
org.apache.commons.io.output.ChunkedOutputStream;1.0
org.apache.commons.io.input.CharSequenceReader;8.0
org.apache.commons.io.input.MessageDigestCalculatingInputStream;3.0
