CLASS_QNAME;OT_NODA
org.apache.commons.io.LineIterator;11.0
org.apache.commons.io.input.ObservableInputStream;36.0
org.apache.commons.io.comparator.AbstractFileComparator;2.0
org.apache.commons.io.input.ReaderInputStream;31.0
org.apache.commons.io.input.XmlStreamReaderException;16.0
org.apache.commons.io.FileCleaningTracker$Tracker;6.0
org.apache.commons.io.serialization.RegexpClassNameMatcher;4.0
org.apache.commons.io.EndianUtils;71.0
org.apache.commons.io.output.FileWriterWithEncoding;47.0
org.apache.commons.io.input.CloseShieldInputStream;1.0
org.apache.commons.io.filefilter.EmptyFileFilter;5.0
org.apache.commons.io.input.XmlStreamReader;120.0
org.apache.commons.io.filefilter.NotFileFilter;6.0
org.apache.commons.io.filefilter.TrueFileFilter;6.0
org.apache.commons.io.input.ReversedLinesFileReader$FilePart;24.0
org.apache.commons.io.input.ObservableInputStream$Observer;5.0
org.apache.commons.io.filefilter.AgeFileFilter;15.0
org.apache.commons.io.serialization.ValidatingObjectInputStream;21.0
org.apache.commons.io.CopyUtils;45.0
org.apache.commons.io.IOExceptionWithCause;4.0
org.apache.commons.io.DirectoryWalker;54.0
org.apache.commons.io.output.ByteArrayOutputStream;44.0
org.apache.commons.io.ByteOrderParser;1.0
org.apache.commons.io.HexDump;19.0
org.apache.commons.io.input.ProxyReader;24.0
org.apache.commons.io.comparator.ExtensionFileComparator;13.0
org.apache.commons.io.filefilter.DirectoryFileFilter;4.0
org.apache.commons.io.IOUtils;356.0
org.apache.commons.io.filefilter.SuffixFileFilter;20.0
org.apache.commons.io.output.ProxyWriter;31.0
org.apache.commons.io.input.NullInputStream;23.0
org.apache.commons.io.comparator.LastModifiedFileComparator;6.0
org.apache.commons.io.TaggedIOException;8.0
org.apache.commons.io.input.UnixLineEndingInputStream;12.0
org.apache.commons.io.FileCleaningTracker;26.0
org.apache.commons.io.filefilter.DelegateFileFilter;9.0
org.apache.commons.io.input.Tailer;98.0
org.apache.commons.io.filefilter.AndFileFilter;16.0
org.apache.commons.io.input.TeeInputStream;14.0
org.apache.commons.io.input.BoundedReader;14.0
org.apache.commons.io.input.WindowsLineEndingInputStream;12.0
org.apache.commons.io.output.ChunkedOutputStream;11.0
org.apache.commons.io.input.CharSequenceReader;15.0
org.apache.commons.io.input.MessageDigestCalculatingInputStream;12.0
org.apache.commons.io.comparator.DefaultFileComparator;5.0
org.apache.commons.io.filefilter.NameFileFilter;20.0
org.apache.commons.io.output.StringBuilderWriter;13.0
org.apache.commons.io.serialization.FullClassNameMatcher;3.0
org.apache.commons.io.output.TeeOutputStream;8.0
org.apache.commons.io.input.BOMInputStream$1;4.0
org.apache.commons.io.output.XmlStreamWriter;23.0
org.apache.commons.io.Charsets;9.0
org.apache.commons.io.output.CountingOutputStream;6.0
org.apache.commons.io.input.InfiniteCircularInputStream;3.0
org.apache.commons.io.output.DeferredFileOutputStream;31.0
org.apache.commons.io.comparator.CompositeFileComparator;13.0
org.apache.commons.io.output.ChunkedWriter;11.0
org.apache.commons.io.FileUtils;374.0
org.apache.commons.io.output.BrokenOutputStream;3.0
org.apache.commons.io.input.SwappedDataInputStream;9.0
org.apache.commons.io.output.TaggedOutputStream;5.0
org.apache.commons.io.comparator.SizeFileComparator;12.0
org.apache.commons.io.input.NullReader;22.0
org.apache.commons.io.filefilter.WildcardFilter;10.0
org.apache.commons.io.output.NullOutputStream;6.0
org.apache.commons.io.output.LockableFileWriter;43.0
org.apache.commons.io.filefilter.WildcardFileFilter;20.0
org.apache.commons.io.comparator.DirectoryFileComparator;6.0
org.apache.commons.io.output.WriterOutputStream;42.0
org.apache.commons.io.filefilter.MagicNumberFileFilter;15.0
org.apache.commons.io.input.BoundedInputStream;20.0
org.apache.commons.io.output.NullWriter;15.0
org.apache.commons.io.monitor.FileAlterationObserver;53.0
org.apache.commons.io.filefilter.FileFilterUtils;70.0
org.apache.commons.io.comparator.ReverseComparator;5.0
org.apache.commons.io.input.BOMInputStream;39.0
org.apache.commons.io.input.TaggedInputStream;5.0
org.apache.commons.io.filefilter.AbstractFileFilter;3.0
org.apache.commons.io.ByteOrderMark;21.0
org.apache.commons.io.filefilter.FileFileFilter;3.0
org.apache.commons.io.input.DemuxInputStream;5.0
org.apache.commons.io.output.ProxyOutputStream;15.0
org.apache.commons.io.filefilter.HiddenFileFilter;4.0
org.apache.commons.io.input.BrokenInputStream;3.0
org.apache.commons.io.FileExistsException;3.0
org.apache.commons.io.filefilter.FalseFileFilter;6.0
org.apache.commons.io.filefilter.CanReadFileFilter;5.0
org.apache.commons.io.output.DemuxOutputStream;7.0
org.apache.commons.io.FilenameUtils;124.0
org.apache.commons.io.monitor.FileEntry;25.0
org.apache.commons.io.DirectoryWalker$CancelException;8.0
org.apache.commons.io.IOCase;27.0
org.apache.commons.io.FileDeleteStrategy;9.0
org.apache.commons.io.FileSystemUtils;65.0
org.apache.commons.io.output.AppendableOutputStream;3.0
org.apache.commons.io.comparator.PathFileComparator;11.0
org.apache.commons.io.filefilter.SizeFileFilter;9.0
org.apache.commons.io.input.ReversedLinesFileReader;48.0
org.apache.commons.io.monitor.FileAlterationListenerAdaptor;8.0
org.apache.commons.io.filefilter.OrFileFilter;16.0
org.apache.commons.io.input.MessageDigestCalculatingInputStream$MessageDigestMaintainingObserver;6.0
org.apache.commons.io.input.TailerListenerAdapter;3.0
org.apache.commons.io.filefilter.RegexFileFilter;11.0
org.apache.commons.io.output.CloseShieldOutputStream;1.0
org.apache.commons.io.output.ClosedOutputStream;2.0
org.apache.commons.io.input.ClosedInputStream;1.0
org.apache.commons.io.input.CountingInputStream;8.0
org.apache.commons.io.monitor.FileAlterationMonitor;18.0
org.apache.commons.io.ThreadMonitor;14.0
org.apache.commons.io.serialization.WildcardClassNameMatcher;3.0
org.apache.commons.io.FileCleaner;11.0
org.apache.commons.io.input.CharSequenceInputStream;28.0
org.apache.commons.io.filefilter.PrefixFileFilter;20.0
org.apache.commons.io.comparator.NameFileComparator;11.0
org.apache.commons.io.FileCleaningTracker$Reaper;2.0
org.apache.commons.io.FileDeleteStrategy$ForceFileDeleteStrategy;1.0
org.apache.commons.io.input.AutoCloseInputStream;2.0
org.apache.commons.io.input.ProxyInputStream;20.0
org.apache.commons.io.output.ThresholdingOutputStream;12.0
org.apache.commons.io.input.ClassLoaderObjectInputStream;9.0
org.apache.commons.io.filefilter.CanWriteFileFilter;4.0
