CLASS_QNAME;OT_NOPRA
org.apache.commons.io.LineIterator;3.0
org.apache.commons.io.input.ObservableInputStream;1.0
org.apache.commons.io.comparator.AbstractFileComparator;0.0
org.apache.commons.io.input.ReaderInputStream;7.0
org.apache.commons.io.input.XmlStreamReaderException;6.0
org.apache.commons.io.FileCleaningTracker$Tracker;2.0
org.apache.commons.io.serialization.RegexpClassNameMatcher;1.0
org.apache.commons.io.EndianUtils;0.0
org.apache.commons.io.output.FileWriterWithEncoding;1.0
org.apache.commons.io.input.CloseShieldInputStream;0.0
org.apache.commons.io.filefilter.EmptyFileFilter;1.0
org.apache.commons.io.input.XmlStreamReader;21.0
org.apache.commons.io.filefilter.NotFileFilter;2.0
org.apache.commons.io.filefilter.TrueFileFilter;1.0
org.apache.commons.io.input.ReversedLinesFileReader$FilePart;4.0
org.apache.commons.io.input.ObservableInputStream$Observer;0.0
org.apache.commons.io.filefilter.AgeFileFilter;3.0
org.apache.commons.io.serialization.ValidatingObjectInputStream;2.0
org.apache.commons.io.CopyUtils;1.0
org.apache.commons.io.IOExceptionWithCause;1.0
org.apache.commons.io.DirectoryWalker;2.0
org.apache.commons.io.output.ByteArrayOutputStream;7.0
org.apache.commons.io.ByteOrderParser;0.0
org.apache.commons.io.HexDump;2.0
org.apache.commons.io.input.ProxyReader;0.0
org.apache.commons.io.comparator.ExtensionFileComparator;2.0
org.apache.commons.io.filefilter.DirectoryFileFilter;1.0
org.apache.commons.io.IOUtils;4.0
org.apache.commons.io.filefilter.SuffixFileFilter;3.0
org.apache.commons.io.output.ProxyWriter;0.0
org.apache.commons.io.input.NullInputStream;7.0
org.apache.commons.io.comparator.LastModifiedFileComparator;1.0
org.apache.commons.io.TaggedIOException;2.0
org.apache.commons.io.input.UnixLineEndingInputStream;5.0
org.apache.commons.io.FileCleaningTracker;0.0
org.apache.commons.io.filefilter.DelegateFileFilter;3.0
org.apache.commons.io.input.Tailer;12.0
org.apache.commons.io.filefilter.AndFileFilter;2.0
org.apache.commons.io.input.TeeInputStream;2.0
org.apache.commons.io.input.BoundedReader;6.0
org.apache.commons.io.input.WindowsLineEndingInputStream;6.0
org.apache.commons.io.output.ChunkedOutputStream;2.0
org.apache.commons.io.input.CharSequenceReader;4.0
org.apache.commons.io.input.MessageDigestCalculatingInputStream;1.0
org.apache.commons.io.comparator.DefaultFileComparator;1.0
org.apache.commons.io.filefilter.NameFileFilter;3.0
org.apache.commons.io.output.StringBuilderWriter;2.0
org.apache.commons.io.serialization.FullClassNameMatcher;1.0
org.apache.commons.io.output.TeeOutputStream;0.0
org.apache.commons.io.input.BOMInputStream$1;0.0
org.apache.commons.io.output.XmlStreamWriter;6.0
org.apache.commons.io.Charsets;0.0
org.apache.commons.io.output.CountingOutputStream;1.0
